date_time,count,running_total
25/5/19,9,10988
26/5/19,23,11011
27/5/19,163,11174
28/5/19,16,11190
29/5/19,27,11217
30/5/19,40,11257
31/5/19,15,11272
1/6/19,68,11340
2/6/19,44,11384
3/6/19,54,11438
4/6/19,58,11496
5/6/19,45,11541
6/6/19,97,11638
7/6/19,22,11660
8/6/19,8,11668
9/6/19,3,11671
10/6/19,3,11674
11/6/19,36,11710
12/6/19,52,11762
13/6/19,5,11767
14/6/19,15,11782
15/6/19,9,11791
17/6/19,28,11819
18/6/19,76,11895
19/6/19,16,11911
20/6/19,30,11941
21/6/19,31,11972
22/6/19,4,11976
23/6/19,10,11986
24/6/19,15,12001
25/6/19,15,12016
26/6/19,9,12025
27/6/19,13,12038
28/6/19,6,12044
29/6/19,34,12078
30/6/19,28,12106
1/7/19,70,12176
2/7/19,5,12181
3/7/19,37,12218
4/7/19,36,12254
5/7/19,35,12289
6/7/19,22,12311
7/7/19,64,12375
8/7/19,36,12411
9/7/19,50,12461
10/7/19,36,12497
11/7/19,17,12514
12/7/19,53,12567
13/7/19,10,12577
14/7/19,39,12616
15/7/19,35,12651
16/7/19,40,12691
17/7/19,8,12699
18/7/19,19,12718
19/7/19,4,12722
20/7/19,11,12733
21/7/19,1,12734
22/7/19,23,12757
23/7/19,36,12793
24/7/19,6,12799
25/7/19,1,12800
26/7/19,1,12801
27/7/19,11,12812
30/7/19,8,12820
31/7/19,2,12822
1/8/19,4,12826
9/8/19,4,12830
10/8/19,14,12844
12/8/19,1,12845
14/8/19,7,12852
15/8/19,3,12855
16/8/19,2,12857
18/8/19,2,12859
19/8/19,13,12872
20/8/19,8,12880
21/8/19,21,12901
22/8/19,5,12906
23/8/19,21,12927
24/8/19,6,12933
26/8/19,15,12948
27/8/19,5,12953
28/8/19,8,12961
29/8/19,3,12964
30/8/19,25,12989
31/8/19,4,12993
1/9/19,9,13002
2/9/19,18,13020
3/9/19,21,13041
5/9/19,8,13049
6/9/19,17,13066
7/9/19,16,13082
8/9/19,17,13099
9/9/19,13,13112
10/9/19,4,13116
11/9/19,20,13136
12/9/19,9,13145
14/9/19,5,13150
15/9/19,29,13179
16/9/19,12,13191
17/9/19,26,13217
18/9/19,43,13260
19/9/19,10,13270
20/9/19,21,13291
21/9/19,152,13443
22/9/19,22,13465
23/9/19,8,13473
24/9/19,36,13509
25/9/19,32,13541
26/9/19,10,13551
27/9/19,1,13552
29/9/19,25,13577
30/9/19,4,13581
1/10/19,12,13593
2/10/19,1,13594
3/10/19,38,13632
4/10/19,14,13646
5/10/19,3,13649
6/10/19,12,13661
7/10/19,10,13671
8/10/19,7,13678
9/10/19,12,13690
10/10/19,1,13691
11/10/19,19,13710
12/10/19,8,13718
13/10/19,35,13753
14/10/19,4,13757
15/10/19,22,13779
16/10/19,8,13787
17/10/19,18,13805
18/10/19,17,13822
19/10/19,17,13839
20/10/19,7,13846
21/10/19,18,13864
22/10/19,14,13878
23/10/19,14,13892
25/10/19,2,13894
26/10/19,20,13914
27/10/19,17,13931
28/10/19,7,13938
29/10/19,6,13944
30/10/19,7,13951
31/10/19,16,13967
1/11/19,11,13978
2/11/19,6,13984
3/11/19,20,14004
4/11/19,16,14020
6/11/19,9,14029
7/11/19,28,14057
8/11/19,40,14097
9/11/19,9,14106
10/11/19,14,14120
11/11/19,10,14130
12/11/19,1,14131
13/11/19,4,14135
14/11/19,10,14145
15/11/19,3,14148
16/11/19,5,14153
17/11/19,13,14166
18/11/19,12,14178
19/11/19,5,14183
20/11/19,8,14191
21/11/19,4,14195
22/11/19,4,14199
23/11/19,12,14211
24/11/19,9,14220
25/11/19,7,14227
26/11/19,6,14233
27/11/19,2,14235
28/11/19,6,14241
29/11/19,1,14242
30/11/19,7,14249
1/12/19,20,14269
2/12/19,10,14279
3/12/19,2,14281
4/12/19,8,14289
5/12/19,37,14326
6/12/19,16,14342
7/12/19,6,14348
8/12/19,1,14349
9/12/19,8,14357
10/12/19,19,14376
11/12/19,15,14391
12/12/19,5,14396
13/12/19,53,14449
14/12/19,21,14470
15/12/19,17,14487
16/12/19,15,14502
17/12/19,7,14509
18/12/19,22,14531
19/12/19,3,14534
20/12/19,19,14553
22/12/19,24,14577
23/12/19,6,14583
25/12/19,6,14589
29/12/19,3,14592
30/12/19,5,14597
31/12/19,5,14602
1/1/20,10,14612
3/1/20,6,14618
4/1/20,9,14627
5/1/20,7,14634
6/1/20,13,14647
7/1/20,16,14663
8/1/20,22,14685
9/1/20,14,14699
10/1/20,10,14709
11/1/20,16,14725
12/1/20,12,14737
13/1/20,13,14750
14/1/20,3,14753
15/1/20,2,14755
16/1/20,11,14766
17/1/20,10,14776
18/1/20,3,14779
19/1/20,33,14812
20/1/20,8,14820
21/1/20,5,14825
22/1/20,1,14826
23/1/20,16,14842
24/1/20,13,14855
25/1/20,21,14876
26/1/20,2,14878
27/1/20,5,14883
28/1/20,3,14886
29/1/20,1,14887
30/1/20,2,14889
31/1/20,3,14892
1/2/20,5,14897
2/2/20,2,14899
3/2/20,7,14906
4/2/20,8,14914
5/2/20,5,14919
6/2/20,7,14926
7/2/20,2,14928
8/2/20,2,14930
9/2/20,17,14947
10/2/20,24,14971
11/2/20,19,14990
12/2/20,5,14995
13/2/20,1,14996
14/2/20,1,14997
15/2/20,21,15018
16/2/20,3,15021
17/2/20,12,15033
18/2/20,20,15053
19/2/20,21,15074
20/2/20,19,15093
21/2/20,49,15142
22/2/20,18,15160
23/2/20,2,15162
24/2/20,21,15183
25/2/20,9,15192
26/2/20,10,15202
27/2/20,6,15208
28/2/20,22,15230
29/2/20,17,15247
1/3/20,6,15253
2/3/20,30,15283
3/3/20,67,15350
4/3/20,19,15369
5/3/20,15,15384
6/3/20,5,15389
7/3/20,11,15400
8/3/20,7,15407
9/3/20,2,15409
10/3/20,14,15423
11/3/20,4,15427
12/3/20,5,15432
13/3/20,20,15452
15/3/20,2,15454
16/3/20,3,15457
17/3/20,9,15466
18/3/20,7,15473
19/3/20,32,15505
20/3/20,8,15513
21/3/20,12,15525
22/3/20,7,15532
23/3/20,4,15536
24/3/20,13,15549
25/3/20,29,15578
26/3/20,7,15585
27/3/20,21,15606
29/3/20,2,15608
30/3/20,7,15615
31/3/20,4,15619
1/4/20,6,15625
2/4/20,4,15629
3/4/20,1,15630
4/4/20,1,15631
5/4/20,1,15632
6/4/20,18,15650
7/4/20,3,15653
8/4/20,5,15658
9/4/20,3,15661
10/4/20,2,15663
14/4/20,6,15669
15/4/20,24,15693
16/4/20,8,15701
17/4/20,9,15710
19/4/20,1,15711
20/4/20,1,15712
21/4/20,3,15715
22/4/20,2,15717
24/4/20,2,15719
25/4/20,1,15720
27/4/20,6,15726
28/4/20,2,15728
29/4/20,1,15729
1/5/20,3,15732
4/5/20,4,15736
5/5/20,8,15744
6/5/20,3,15747
7/5/20,1,15748
8/5/20,24,15772
9/5/20,1,15773
12/5/20,4,15777
13/5/20,7,15784
14/5/20,7,15791
15/5/20,2,15793
16/5/20,2,15795
19/5/20,4,15799
21/5/20,11,15810
22/5/20,19,15829
23/5/20,1,15830
26/5/20,4,15834
27/5/20,6,15840
28/5/20,3,15843
2/6/20,2,15845
3/6/20,1,15846
4/6/20,3,15849
6/6/20,1,15850
7/6/20,6,15856
8/6/20,7,15863
9/6/20,5,15868
10/6/20,2,15870
11/6/20,2,15872
12/6/20,1,15873
13/6/20,2,15875
14/6/20,5,15880
15/6/20,6,15886
16/6/20,12,15898
17/6/20,6,15904
18/6/20,1,15905
19/6/20,2,15907
